ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-003180,-2.257474531519516,NRH-UPS2,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Non-immune
ACH-003184,-2.9219409001202745,NRH-LMS2,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,Non-immune
ACH-000004,-3.1088717320116306,HEL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",Myeloid
ACH-000022,-2.0575610208343456,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000052,-2.371092857230261,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000113,-2.0930496550438464,OCI-AML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000149,-2.6134796069265382,SK-N-SH,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000169,-2.743506719888242,RD,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,Non-immune
ACH-000217,-2.836425930536171,JHH-6,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000243,-3.36124642827257,DAN-G,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000263,-2.481569751996867,KASUMI-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000278,-2.845785398327003,COV362,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000303,-1.4536649430578823,SNU-5,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000308,-3.0893649473361795,EFO-21,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-000322,-2.269435403429298,HT-144,Skin,Melanoma,Melanoma,Non-immune
ACH-000332,-1.903701780124144,YAPC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000338,-2.6127676971912344,SR-786,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-000370,-2.215792940798822,SNU-626,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000390,-1.8761428003854932,LUDLU-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000393,-1.7778310659482912,HLF,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000407,-2.7827755209174336,SNU-685,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Non-immune
ACH-000417,-2.847379267433116,Panc 08.13,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000473,-1.91401905159222,RT-112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000491,-1.647241178172113,NCI-H716,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000495,-2.1865130752363706,TUHR4TKB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-000532,-3.082877474343464,SNU-61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-000561,-2.0340510991723275,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000619,-2.5279759290434898,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000622,-2.4298836249409304,KNS-42,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000633,-2.922814268828009,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Non-immune
ACH-000657,-1.858535181691095,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Non-immune
ACH-000668,-2.354080141895722,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000683,-2.549205398373042,SNU-503,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-000688,-2.421667927532901,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mixed Ovarian Carcinoma,Non-immune
ACH-000694,-1.1384625706197016,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000711,-3.048405940411108,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000716,-2.3163882968747918,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,Non-immune
ACH-000720,-1.5853365592126765,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000721,-2.473618164880512,HMC-1-8,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000735,-2.1946080970295814,PE/CA-PJ49,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000739,-1.8311096437901784,Hep G2,Liver,Hepatoblastoma,Hepatoblastoma,Non-immune
ACH-000770,-1.400400635324965,P31/FUJ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000775,-2.218733342967747,NCI-H727,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,Non-immune
ACH-000783,-0.5756203440041441,CAMA-1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,Non-immune
ACH-000791,-2.1483486306353456,RERF-LC-Ad1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000805,-2.750224229935477,COLO-679,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000824,-1.822054092744267,KYSE-510,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000827,-2.383683999203818,WM793,Skin,Melanoma,Melanoma,Non-immune
ACH-000838,-2.775908140773023,AMO-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000848,-2.7355240944733965,JHH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000858,-1.4666694114021253,KNS-62,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000861,-2.0855202534318305,HOP-62,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000881,-2.964450142107581,MEL-JUSO,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000899,-1.7671612614287049,WM88,Skin,Melanoma,Melanoma,Non-immune
ACH-000910,-2.2242450999800365,MDA-MB-453,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000915,-2.858859881238885,IPC-298,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000935,-3.019449091404586,MDST8,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000936,-1.963238208998436,EFO-27,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,Non-immune
ACH-000944,-2.2023217920952924,NAMALWA,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,Lymphoid
ACH-000962,-1.0271683362142332,OC 314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-000965,-2.2418616966616973,RL95-2,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,Non-immune
ACH-000988,-1.796900695383462,MFE-319,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,Non-immune
ACH-001038,-1.7055883346971228,COG-E-352,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001050,-1.8724827500222605,CW9019,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Non-immune
ACH-001053,-2.772846529860088,D425,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-001151,-3.119842426120073,OVCAR-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-001211,-2.445880291556874,TTC-549,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,Non-immune
ACH-001239,-2.0078814977803594,WM-266-4,Skin,Melanoma,Melanoma,Non-immune
ACH-001277,-2.711622807365777,Yamato,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,Non-immune
ACH-001367,-1.5708824255752174,NMB,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001392,-2.414255711084,SUM-185PE,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-001412,-2.6194193730716133,UM-UC-10,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001458,-2.488351577156623,C75,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001510,-2.6424805407986,H376,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001530,-0.0487617796525339,JEG-3,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,Non-immune
ACH-001556,-2.247644434401779,Mero-25,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",Non-immune
ACH-001562,-1.2859321004581794,Mero-95,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-001609,-1.869536851820568,NP 3,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001670,-1.4797220839263852,TASK1,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,Non-immune
ACH-002024,-2.035742861492789,ECC4,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-002029,-1.8346492062493405,SAS,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-002035,-2.29406493582866,LCAM1,Lung,Non-Small Cell Lung Cancer,Poorly Differentiated Non-Small Cell Lung Cancer,Non-immune
ACH-002045,-2.2195783678530696,HO-1-u-1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-002046,-1.130172918219135,HTMMT,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Non-immune
ACH-002059,-1.2053464294329723,P30/OHK,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-002066,-2.456853299348973,HS-Sch-2,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,Non-immune
ACH-002142,-2.768914580477244,HuO-3N1,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002215,-2.2785642582105976,BC-3,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,Lymphoid
ACH-002249,-2.5204617352555307,JHU-011,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-002282,-2.509033920116156,NB17,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002295,-2.1056484531991178,PCI-30,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-002485,-1.471670319223862,MAVER-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,Lymphoid
ACH-002526,-0.966403423126522,SNU-1327,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-002528,-2.86800167996919,SNU-267,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-002659,-2.418366181067713,JVE-127,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,Non-immune
ACH-002660,-1.9172707127137527,JVE-187,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-002664,-1.9451253780768647,JVE-253,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,Non-immune
ACH-002672,-2.04780688008146,MAPAC-HS-77,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-002792,-2.1268161198796185,NCC-CCS1B-C1,Soft Tissue,Clear Cell Sarcoma,Clear Cell Sarcoma,Non-immune
ACH-002922,-3.0137130986251104,SK-N-MM,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000009,-1.7691408360967378,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000021,-1.292523893227835,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000025,-2.6560486682501696,CH-157MN,CNS/Brain,Meningothelial Tumor,Meningioma,Non-immune
ACH-000037,-0.520918593617933,S-117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",Non-immune
ACH-000075,-1.476801389137255,U-87 MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000138,-2.617195478777865,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000211,-1.351807588477187,Daoy,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-000215,-3.0987852835097387,LN382,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000232,-1.7619404335946107,U-251 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000256,-2.044875330592344,COV318,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000265,-1.6156322617519752,KP-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000268,-0.3632724685006578,SNU-245,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-000269,-1.5610095806158697,AM-38,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000273,-2.299890565318006,SF539,CNS/Brain,Diffuse Glioma,Gliosarcoma,Non-immune
ACH-000281,-2.442267712299199,KP-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000307,-2.3487664652282905,PK-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000315,-1.9481605987683408,KARPAS-422,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000317,-2.481219836037193,TUHR14TKB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-000324,-1.3953472312570678,JHOC-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000346,-2.153779253982913,JVM-3,Lymphoid,Mature B-Cell Neoplasms,B-Cell Prolymphocytic Leukemia,Lymphoid
ACH-000355,-1.4449827567090177,NCI-H82,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000362,-1.4802337396988563,MOLM-13,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000364,-2.745838008709748,U-2 OS,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-000401,-1.833751254486734,COLO-800,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000405,-2.910877212922656,MEC-1,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Lymphoid
ACH-000408,-2.8142649476575983,TE-5,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000481,-1.7108182494537705,NCI-H2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000500,-1.999501606701044,SNU-46,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-000517,-2.625917131258022,SNU-410,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000541,-2.3346300925337027,KMS-34,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000550,-2.631726055428686,IGR-39,Skin,Melanoma,Melanoma,Non-immune
ACH-000562,-2.4239494794189134,HCC-78,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000591,-2.1080480470984706,LN-235,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000621,-2.98798371712232,MDA-MB-157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000645,-2.061816966580983,JL-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000673,-2.15333714035455,LN-443,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000684,-2.4730629849866905,KMRC-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000696,-1.9943719409467469,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000698,-0.1269479740315175,DMS 53,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000725,-2.7384182203367464,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,Non-immune
ACH-000734,-1.6944993507899957,JHH-5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000754,-2.737098345328742,L-428,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
ACH-000758,-1.908391254942713,MKN74,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-000769,-2.0623698712250738,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000802,-2.8810566178386274,BFTC-905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000804,-2.5609820748042327,NB-1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000833,-2.933451912183139,RH-30,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Non-immune
ACH-000836,-2.60210420493493,YD-15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000856,-1.6617890843109828,CAL-51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000869,-1.8145588143536624,NCI-H1568,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000887,-2.2658390501250456,SF-172,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000898,-2.258826365041348,SNU-719,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-000901,-1.220651474850907,HCC-1359,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,Non-immune
ACH-000946,-2.1951956513011086,HEC-265,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000976,-1.1803389565024438,HuCCT1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001016,-1.4460132935755583,Becker,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-001039,-2.0323476473032094,COLO 205,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001107,-2.490442877076537,KP-1N,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001196,-2.1801159787807523,SMS-CTR,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,Non-immune
ACH-001197,-0.7680096343951548,SMZ-1,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,Lymphoid
ACH-001301,-1.505006993900016,COG-N-278,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001344,-2.308664610881885,GI-ME-N,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001345,-1.3115653842183363,GP5d,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001360,-1.7040774463772483,MS751,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001388,-2.566353431479558,SUM-102PT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-001415,-1.7897193440179282,UM-UC7,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001421,-1.9147648060221167,WERI-Rb-1,Eye,Retinoblastoma,Retinoblastoma,Non-immune
ACH-001450,-2.857719623703644,BLUE-1,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,Lymphoid
ACH-001494,-1.890738722733616,EGI-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-001496,-1.9764802031295328,ESO26,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenocarcinoma of the Gastroesophageal Junction,Non-immune
ACH-001500,-2.218007904299299,FLO-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-001509,-1.8826412754441364,H357,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001517,-2.884968521679317,HEC-1,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-001538,-2.115449083132608,KKU-213,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001543,-1.544439996703724,KOSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001613,-1.604227779567864,OCI-AML4,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-001616,-3.235205206383344,OCI-LY18,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-001651,-2.790252192221682,SKG-I,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001662,-1.3910908575245218,SNU-2372,Breast,Invasive Breast Carcinoma,"Breast Invasive Cancer, NOS",Non-immune
ACH-001668,-2.3041611525595296,SUSA,Testis,Non-Seminomatous Germ Cell Tumor,Teratoma,Non-immune
ACH-001685,-2.337324674213506,U-HO1,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
ACH-001719,-2.8478465175370737,OCI-C4P,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-001765,-2.9845615617968035,Rh4,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Non-immune
ACH-001786,-1.7212315973134669,SNU-1544,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001820,-2.801819184449716,COLO 824,Breast,"Breast Neoplasm, NOS","Breast Neoplasm, NOS",Non-immune
ACH-001848,-2.205408120394879,MGH-ICC8,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001977,-2.5460988671889155,NO36,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-002018,-2.8020202315493883,Omm2.5,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-002069,-2.44934035852282,HS-Os-1,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002202,-3.200169933549821,TMK-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-002269,-2.0255504464158127,LNZTA3WT4,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-002285,-2.076181133326279,NB7,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002490,-1.7334724080212622,NCI-H1882,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-002687,-2.312203894017077,WM3772F,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-002708,-2.0783944164609625,DL-221,Soft Tissue,Liposarcoma,Myxoid/Round-Cell Liposarcoma,Non-immune
ACH-002782,-2.353344263897041,NCC-UPS1-C1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Non-immune
ACH-002785,-2.472410666066532,NCC-LMS1-C1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,Non-immune
ACH-003012,-2.6152027997931566,A549_CRAF_KD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
